query,plan
Plan a 3-day trip from Jaipur to Pune for 1 person(s) with a budget of ₹28771 starting 2025-08-13.,Stay at EMA HOSPITALITY. Day 1: Visit Shaniwar Wada. Day 2: Day 3:
Plan a 3-day trip from Bengaluru to Ahmedabad for 3 person(s) with a budget of ₹24874 starting 2025-08-24.,"Stay at Tulsi Residency. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk. Day 3: Visit Science City."
Plan a 2-day trip from Pune to Ahmedabad for 3 person(s) with a budget of ₹24812 starting 2025-08-05.,"Stay at Tulsi Residency. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk."
Plan a 5-day trip from Lucknow to Chennai for 1 person(s) with a budget of ₹42235 starting 2025-08-25.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3: Day 4: Day 5:
Plan a 3-day trip from Jaipur to Delhi for 3 person(s) with a budget of ₹18564 starting 2025-08-10.,"Stay at Vivanta by Taj - Ambassador (A Taj Hotel). Day 1: Visit India Gate, Akshardham Temple. Day 2: Visit Sunder Nursery, Humayun's Tomb. Day 3: Visit Lotus Temple, Qutub Minar."
Plan a 4-day trip from Ahmedabad to Jaipur for 1 person(s) with a budget of ₹10924 starting 2025-08-02.,"Stay at Tulsian Guest House and Serviced Appartment. Day 1: Visit Amber Fort, Albert Hall Museum. Day 2: Visit Jaigarh Fort, Hawa Mahal. Day 3: Visit City Palace. Day 4:"
Plan a 2-day trip from Delhi to Mumbai for 3 person(s) with a budget of ₹11529 starting 2025-08-08.,"Stay at Vivanta by Taj - President (A Taj Hotel). Day 1: Visit Siddhivinayak Temple, Mahalaxmi Temple. Day 2: Visit Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Gateway of India."
Plan a 5-day trip from Lucknow to Mumbai for 1 person(s) with a budget of ₹28608 starting 2025-08-17.,"Stay at Vivanta by Taj - President (A Taj Hotel). Day 1: Visit Siddhivinayak Temple, Mahalaxmi Temple. Day 2: Visit Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Gateway of India. Day 3: Visit Marine Drive, Haji Ali Dargah. Day 4: Visit Sanjay Gandhi National Park, Chowpatty Beach. Day 5: Visit Essel World, Elephanta Caves."
Plan a 4-day trip from Kolkata to Hyderabad for 3 person(s) with a budget of ₹42581 starting 2025-08-26.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Inorbit Mall Cyberabad. Day 2: Visit Charminar, Qutb Shahi Tombs. Day 3: Visit Golconda Fort, Salar Jung Museum. Day 4: Visit Ramoji Film City, Chowmahalla Palace."
Plan a 3-day trip from Lucknow to Mumbai for 3 person(s) with a budget of ₹24216 starting 2025-08-01.,"Stay at Vivanta by Taj - President (A Taj Hotel). Day 1: Visit Siddhivinayak Temple, Mahalaxmi Temple. Day 2: Visit Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Gateway of India. Day 3: Visit Marine Drive, Haji Ali Dargah."
Plan a 5-day trip from Ahmedabad to Chennai for 1 person(s) with a budget of ₹32951 starting 2025-08-06.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3: Day 4: Day 5:
Plan a 4-day trip from Delhi to Kolkata for 1 person(s) with a budget of ₹37011 starting 2025-08-13.,"Stay at Banayan Appartment ,Russell Street. Day 1: Visit Belur Math, Dakshineswar Kali Temple. Day 2: Visit Howrah Bridge, Victoria Memorial. Day 3: Visit Indian Museum, Kalighat Kali Temple. Day 4: Visit Marble Palace, Science City Kolkata."
Plan a 2-day trip from Bengaluru to Pune for 3 person(s) with a budget of ₹25631 starting 2025-08-19.,Stay at Sparrow  House Gandhrav Nagari. Day 1: Visit Shaniwar Wada. Day 2:
Plan a 4-day trip from Jaipur to Kolkata for 3 person(s) with a budget of ₹16180 starting 2025-08-10.,"Stay at Stay Cool. Day 1: Visit Dakshineswar Kali Temple, Belur Math. Day 2: Visit Victoria Memorial, Indian Museum. Day 3: Visit Howrah Bridge, Kalighat Kali Temple. Day 4: Visit Science City Kolkata, Marble Palace."
Plan a 3-day trip from Jaipur to Pune for 4 person(s) with a budget of ₹41431 starting 2025-08-03.,Stay at Sparrow  House Gandhrav Nagari. Day 1: Visit Shaniwar Wada. Day 2: Day 3:
Plan a 5-day trip from Jaipur to Pune for 2 person(s) with a budget of ₹34997 starting 2025-08-25.,Stay at Valencia Hospitality Service Apartment Magarpatta. Day 1: Visit Shaniwar Wada. Day 2: Day 3: Day 4: Day 5:
Plan a 4-day trip from Kolkata to Delhi for 4 person(s) with a budget of ₹46296 starting 2025-08-11.,"Stay at The Taj Mahal Hotel (A Taj Hotel). Day 1: Visit India Gate, Akshardham Temple. Day 2: Visit Sunder Nursery, Humayun's Tomb. Day 3: Visit Lotus Temple, Qutub Minar. Day 4: Visit Lodhi Garden, Red Fort."
Plan a 3-day trip from Lucknow to Kolkata for 4 person(s) with a budget of ₹14669 starting 2025-08-05.,"Stay at Stay Cool. Day 1: Visit Dakshineswar Kali Temple, Belur Math. Day 2: Visit Victoria Memorial, Indian Museum. Day 3: Visit Howrah Bridge, Kalighat Kali Temple."
Plan a 2-day trip from Chennai to Kolkata for 1 person(s) with a budget of ₹23563 starting 2025-08-02.,"Stay at Banayan Appartment ,Russell Street. Day 1: Visit Belur Math, Dakshineswar Kali Temple. Day 2: Visit Howrah Bridge, Victoria Memorial."
Plan a 3-day trip from Hyderabad to Jaipur for 1 person(s) with a budget of ₹25465 starting 2025-08-10.,"Stay at Vidhya Villa. Day 1: Visit Amber Fort, Albert Hall Museum. Day 2: Visit Jaigarh Fort, Hawa Mahal. Day 3: Visit City Palace."
Plan a 4-day trip from Hyderabad to Ahmedabad for 4 person(s) with a budget of ₹26439 starting 2025-08-06.,"Stay at Tulsi Residency. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk. Day 3: Visit Science City. Day 4:"
Plan a 5-day trip from Mumbai to Chennai for 3 person(s) with a budget of ₹38060 starting 2025-08-05.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3: Day 4: Day 5:
Plan a 3-day trip from Hyderabad to Kolkata for 4 person(s) with a budget of ₹36885 starting 2025-08-27.,"Stay at Travel Inn. Day 1: Visit Belur Math, Dakshineswar Kali Temple. Day 2: Visit Howrah Bridge, Victoria Memorial. Day 3: Visit Indian Museum, Kalighat Kali Temple."
Plan a 2-day trip from Ahmedabad to Hyderabad for 4 person(s) with a budget of ₹20316 starting 2025-08-05.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Inorbit Mall Cyberabad. Day 2: Visit Charminar, Qutb Shahi Tombs."
Plan a 4-day trip from Bengaluru to Lucknow for 1 person(s) with a budget of ₹32032 starting 2025-08-14.,"Stay at HOTEL SHELTER. Day 1: Visit Phoenix Palassio, Bara Imambara. Day 2: Day 3: Day 4:"
Plan a 2-day trip from Hyderabad to Mumbai for 3 person(s) with a budget of ₹30448 starting 2025-08-21.,"Stay at Vivanta by Taj - President (A Taj Hotel). Day 1: Visit Siddhivinayak Temple, Mahalaxmi Temple. Day 2: Visit Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Gateway of India."
Plan a 5-day trip from Delhi to Lucknow for 1 person(s) with a budget of ₹47156 starting 2025-08-04.,"Stay at HOTEL SHELTER. Day 1: Visit Phoenix Palassio, Bara Imambara. Day 2: Day 3: Day 4: Day 5:"
Plan a 4-day trip from Jaipur to Delhi for 3 person(s) with a budget of ₹44255 starting 2025-08-04.,"Stay at The Taj Mahal Hotel (A Taj Hotel). Day 1: Visit India Gate, Akshardham Temple. Day 2: Visit Sunder Nursery, Humayun's Tomb. Day 3: Visit Lotus Temple, Qutub Minar. Day 4: Visit Lodhi Garden, Red Fort."
Plan a 4-day trip from Lucknow to Pune for 1 person(s) with a budget of ₹42340 starting 2025-08-01.,Stay at Sparrow  House Gandhrav Nagari. Day 1: Visit Shaniwar Wada. Day 2: Day 3: Day 4:
Plan a 5-day trip from Chennai to Mumbai for 4 person(s) with a budget of ₹39286 starting 2025-08-27.,"Stay at Vivanta by Taj - President (A Taj Hotel). Day 1: Visit Siddhivinayak Temple, Mahalaxmi Temple. Day 2: Visit Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Gateway of India. Day 3: Visit Marine Drive, Haji Ali Dargah. Day 4: Visit Sanjay Gandhi National Park, Chowpatty Beach. Day 5: Visit Essel World, Elephanta Caves."
Plan a 4-day trip from Pune to Chennai for 2 person(s) with a budget of ₹20370 starting 2025-08-15.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3: Day 4:
Plan a 4-day trip from Ahmedabad to Kolkata for 2 person(s) with a budget of ₹47375 starting 2025-08-30.,"Stay at Banayan Appartment ,Russell Street. Day 1: Visit Belur Math, Dakshineswar Kali Temple. Day 2: Visit Howrah Bridge, Victoria Memorial. Day 3: Visit Indian Museum, Kalighat Kali Temple. Day 4: Visit Marble Palace, Science City Kolkata."
Plan a 2-day trip from Mumbai to Hyderabad for 1 person(s) with a budget of ₹23268 starting 2025-08-28.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Inorbit Mall Cyberabad. Day 2: Visit Charminar, Qutb Shahi Tombs."
Plan a 3-day trip from Bengaluru to Kolkata for 2 person(s) with a budget of ₹33739 starting 2025-08-01.,"Stay at Banayan Appartment ,Russell Street. Day 1: Visit Belur Math, Dakshineswar Kali Temple. Day 2: Visit Howrah Bridge, Victoria Memorial. Day 3: Visit Indian Museum, Kalighat Kali Temple."
Plan a 5-day trip from Bengaluru to Mumbai for 2 person(s) with a budget of ₹14111 starting 2025-08-10.,"Stay at Vivanta by Taj - President (A Taj Hotel). Day 1: Visit Siddhivinayak Temple, Mahalaxmi Temple. Day 2: Visit Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Gateway of India. Day 3: Visit Marine Drive, Haji Ali Dargah. Day 4: Visit Sanjay Gandhi National Park, Chowpatty Beach. Day 5: Visit Elephanta Caves."
Plan a 3-day trip from Pune to Hyderabad for 4 person(s) with a budget of ₹18075 starting 2025-08-17.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Inorbit Mall Cyberabad. Day 2: Visit Charminar, Qutb Shahi Tombs. Day 3: Visit Golconda Fort, Salar Jung Museum."
Plan a 2-day trip from Hyderabad to Delhi for 3 person(s) with a budget of ₹10057 starting 2025-08-25.,"Stay at HOTEL SIAM INTERNATIONAL. Day 1: Visit India Gate, Akshardham Temple. Day 2: Visit Sunder Nursery, Humayun's Tomb."
Plan a 4-day trip from Lucknow to Hyderabad for 1 person(s) with a budget of ₹20628 starting 2025-08-01.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Inorbit Mall Cyberabad. Day 2: Visit Charminar, Qutb Shahi Tombs. Day 3: Visit Golconda Fort, Salar Jung Museum. Day 4: Visit Ramoji Film City, Chowmahalla Palace."
Plan a 2-day trip from Hyderabad to Chennai for 3 person(s) with a budget of ₹35682 starting 2025-08-02.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2:
Plan a 2-day trip from Delhi to Hyderabad for 3 person(s) with a budget of ₹32679 starting 2025-08-19.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Inorbit Mall Cyberabad. Day 2: Visit Charminar, Qutb Shahi Tombs."
Plan a 3-day trip from Pune to Lucknow for 2 person(s) with a budget of ₹27078 starting 2025-08-04.,"Stay at HOTEL SHELTER. Day 1: Visit Phoenix Palassio, Bara Imambara. Day 2: Day 3:"
Plan a 5-day trip from Ahmedabad to Kolkata for 1 person(s) with a budget of ₹29960 starting 2025-08-11.,"Stay at Stay Cool. Day 1: Visit Dakshineswar Kali Temple, Belur Math. Day 2: Visit Victoria Memorial, Indian Museum. Day 3: Visit Howrah Bridge, Kalighat Kali Temple. Day 4: Visit Science City Kolkata, Marble Palace. Day 5: Visit Alipore Zoological Gardens."
Plan a 3-day trip from Jaipur to Delhi for 3 person(s) with a budget of ₹37402 starting 2025-08-04.,"Stay at HOTEL SIAM INTERNATIONAL. Day 1: Visit India Gate, Akshardham Temple. Day 2: Visit Sunder Nursery, Humayun's Tomb. Day 3: Visit Lotus Temple, Qutub Minar."
Plan a 5-day trip from Bengaluru to Jaipur for 1 person(s) with a budget of ₹40746 starting 2025-08-21.,"Stay at Vidhya Villa. Day 1: Visit Amber Fort, Albert Hall Museum. Day 2: Visit Jaigarh Fort, Hawa Mahal. Day 3: Visit City Palace. Day 4: Day 5:"
Plan a 2-day trip from Jaipur to Chennai for 4 person(s) with a budget of ₹48565 starting 2025-08-23.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2:
Plan a 3-day trip from Mumbai to Kolkata for 1 person(s) with a budget of ₹22353 starting 2025-08-24.,"Stay at Banayan Appartment ,Russell Street. Day 1: Visit Dakshineswar Kali Temple, Belur Math. Day 2: Visit Victoria Memorial, Indian Museum. Day 3: Visit Howrah Bridge, Kalighat Kali Temple."
Plan a 3-day trip from Hyderabad to Kolkata for 1 person(s) with a budget of ₹29530 starting 2025-08-25.,"Stay at Banayan Appartment ,Russell Street. Day 1: Visit Belur Math, Dakshineswar Kali Temple. Day 2: Visit Howrah Bridge, Victoria Memorial. Day 3: Visit Indian Museum, Kalighat Kali Temple."
Plan a 5-day trip from Chennai to Pune for 1 person(s) with a budget of ₹27509 starting 2025-08-15.,Stay at Camp Chrysalid Kambre. Day 1: Visit Shaniwar Wada. Day 2: Day 3: Day 4: Day 5:
Plan a 4-day trip from Hyderabad to Pune for 1 person(s) with a budget of ₹46007 starting 2025-08-19.,Stay at Sparrow  House Gandhrav Nagari. Day 1: Visit Shaniwar Wada. Day 2: Day 3: Day 4:
Plan a 5-day trip from Delhi to Hyderabad for 1 person(s) with a budget of ₹38194 starting 2025-08-22.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Inorbit Mall Cyberabad. Day 2: Visit Charminar, Qutb Shahi Tombs. Day 3: Visit Golconda Fort, Salar Jung Museum. Day 4: Visit Ramoji Film City, Chowmahalla Palace. Day 5: Visit Hussain Sagar Lake, Nehru Zoological Park."
Plan a 5-day trip from Lucknow to Mumbai for 1 person(s) with a budget of ₹38292 starting 2025-08-29.,"Stay at Vivanta by Taj - President (A Taj Hotel). Day 1: Visit Siddhivinayak Temple, Mahalaxmi Temple. Day 2: Visit Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Gateway of India. Day 3: Visit Marine Drive, Haji Ali Dargah. Day 4: Visit Sanjay Gandhi National Park, Chowpatty Beach. Day 5: Visit Essel World, Elephanta Caves."
Plan a 4-day trip from Kolkata to Chennai for 2 person(s) with a budget of ₹24133 starting 2025-08-27.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3: Day 4:
Plan a 2-day trip from Jaipur to Ahmedabad for 3 person(s) with a budget of ₹13825 starting 2025-08-21.,"Stay at Tulsi Residency. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk."
Plan a 3-day trip from Ahmedabad to Chennai for 4 person(s) with a budget of ₹31745 starting 2025-08-19.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3:
Plan a 2-day trip from Jaipur to Ahmedabad for 3 person(s) with a budget of ₹29006 starting 2025-08-29.,"Stay at Hotel Raghu Chhaya. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk."
Plan a 2-day trip from Delhi to Pune for 3 person(s) with a budget of ₹17948 starting 2025-08-22.,Stay at EMA HOSPITALITY. Day 1: Visit Shaniwar Wada. Day 2:
Plan a 4-day trip from Lucknow to Delhi for 1 person(s) with a budget of ₹26173 starting 2025-08-29.,"Stay at Vivanta by Taj - Ambassador (A Taj Hotel). Day 1: Visit India Gate, Akshardham Temple. Day 2: Visit Sunder Nursery, Humayun's Tomb. Day 3: Visit Lotus Temple, Qutub Minar. Day 4: Visit Lodhi Garden, Red Fort."
Plan a 2-day trip from Delhi to Chennai for 1 person(s) with a budget of ₹23282 starting 2025-08-15.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2:
Plan a 4-day trip from Ahmedabad to Pune for 2 person(s) with a budget of ₹29019 starting 2025-08-18.,Stay at Valencia Hospitality Service Apartment Magarpatta. Day 1: Visit Shaniwar Wada. Day 2: Day 3: Day 4:
Plan a 5-day trip from Delhi to Mumbai for 1 person(s) with a budget of ₹30935 starting 2025-08-15.,"Stay at Vivanta by Taj - President (A Taj Hotel). Day 1: Visit Siddhivinayak Temple, Mahalaxmi Temple. Day 2: Visit Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Gateway of India. Day 3: Visit Marine Drive, Haji Ali Dargah. Day 4: Visit Sanjay Gandhi National Park, Chowpatty Beach. Day 5: Visit Essel World, Elephanta Caves."
Plan a 5-day trip from Bengaluru to Pune for 3 person(s) with a budget of ₹18006 starting 2025-08-21.,Stay at Camp Chrysalid Kambre. Day 1: Visit Shaniwar Wada. Day 2: Day 3: Day 4: Day 5:
Plan a 5-day trip from Mumbai to Ahmedabad for 3 person(s) with a budget of ₹10204 starting 2025-08-29.,"Stay at Tulsi Residency. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk. Day 3: Visit Science City. Day 4: Day 5:"
Plan a 3-day trip from Jaipur to Pune for 1 person(s) with a budget of ₹41499 starting 2025-08-16.,Stay at Sparrow  House Gandhrav Nagari. Day 1: Visit Shaniwar Wada. Day 2: Day 3:
Plan a 4-day trip from Bengaluru to Chennai for 4 person(s) with a budget of ₹45814 starting 2025-08-11.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3: Day 4:
Plan a 3-day trip from Chennai to Pune for 4 person(s) with a budget of ₹30863 starting 2025-08-08.,Stay at Sparrow  House Gandhrav Nagari. Day 1: Visit Shaniwar Wada. Day 2: Day 3:
Plan a 3-day trip from Mumbai to Lucknow for 4 person(s) with a budget of ₹28834 starting 2025-08-13.,"Stay at HOTEL SHELTER. Day 1: Visit Phoenix Palassio, Bara Imambara. Day 2: Day 3:"
Plan a 4-day trip from Hyderabad to Mumbai for 3 person(s) with a budget of ₹33330 starting 2025-08-03.,"Stay at Vivanta by Taj - President (A Taj Hotel). Day 1: Visit Siddhivinayak Temple, Mahalaxmi Temple. Day 2: Visit Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Gateway of India. Day 3: Visit Marine Drive, Haji Ali Dargah. Day 4: Visit Sanjay Gandhi National Park, Chowpatty Beach."
Plan a 5-day trip from Chennai to Kolkata for 2 person(s) with a budget of ₹44056 starting 2025-08-22.,"Stay at Banayan Appartment ,Russell Street. Day 1: Visit Belur Math, Dakshineswar Kali Temple. Day 2: Visit Howrah Bridge, Victoria Memorial. Day 3: Visit Indian Museum, Kalighat Kali Temple. Day 4: Visit Marble Palace, Science City Kolkata. Day 5: Visit Alipore Zoological Gardens, Eden Gardens."
Plan a 5-day trip from Hyderabad to Chennai for 2 person(s) with a budget of ₹15655 starting 2025-08-21.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3: Day 4: Day 5:
Plan a 5-day trip from Chennai to Jaipur for 2 person(s) with a budget of ₹40750 starting 2025-08-17.,"Stay at Vidhya Villa. Day 1: Visit Amber Fort, Albert Hall Museum. Day 2: Visit Jaigarh Fort, Hawa Mahal. Day 3: Visit City Palace. Day 4: Day 5:"
Plan a 3-day trip from Delhi to Mumbai for 4 person(s) with a budget of ₹45969 starting 2025-08-16.,"Stay at Vivanta by Taj - President (A Taj Hotel). Day 1: Visit Siddhivinayak Temple, Mahalaxmi Temple. Day 2: Visit Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Gateway of India. Day 3: Visit Marine Drive, Haji Ali Dargah."
Plan a 5-day trip from Kolkata to Pune for 1 person(s) with a budget of ₹17697 starting 2025-08-26.,Stay at Camp Chrysalid Kambre. Day 1: Visit Shaniwar Wada. Day 2: Day 3: Day 4: Day 5:
Plan a 3-day trip from Pune to Ahmedabad for 1 person(s) with a budget of ₹34483 starting 2025-08-01.,"Stay at Tulsi Residency. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk. Day 3: Visit Science City."
Plan a 2-day trip from Mumbai to Kolkata for 2 person(s) with a budget of ₹28020 starting 2025-08-10.,"Stay at Travel Inn. Day 1: Visit Belur Math, Dakshineswar Kali Temple. Day 2: Visit Howrah Bridge, Victoria Memorial."
Plan a 3-day trip from Ahmedabad to Lucknow for 1 person(s) with a budget of ₹47024 starting 2025-08-21.,"Stay at EXCEL PARADISE INN. Day 1: Visit Phoenix Palassio, Bara Imambara. Day 2: Day 3:"
Plan a 5-day trip from Lucknow to Mumbai for 4 person(s) with a budget of ₹21004 starting 2025-08-07.,"Stay at Vivanta by Taj - President (A Taj Hotel). Day 1: Visit Siddhivinayak Temple, Mahalaxmi Temple. Day 2: Visit Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Gateway of India. Day 3: Visit Marine Drive, Haji Ali Dargah. Day 4: Visit Sanjay Gandhi National Park, Chowpatty Beach. Day 5: Visit Essel World, Elephanta Caves."
Plan a 4-day trip from Lucknow to Ahmedabad for 2 person(s) with a budget of ₹20006 starting 2025-08-31.,"Stay at Tulsi Residency. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk. Day 3: Visit Science City. Day 4:"
Plan a 3-day trip from Kolkata to Ahmedabad for 3 person(s) with a budget of ₹38469 starting 2025-08-07.,"Stay at Tulsi Residency. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk. Day 3: Visit Science City."
Plan a 3-day trip from Bengaluru to Jaipur for 4 person(s) with a budget of ₹16087 starting 2025-08-10.,"Stay at Art Inn Homestay. Day 1: Visit Amber Fort, Albert Hall Museum. Day 2: Visit Jaigarh Fort, Hawa Mahal. Day 3: Visit City Palace."
Plan a 2-day trip from Mumbai to Ahmedabad for 2 person(s) with a budget of ₹40441 starting 2025-08-13.,"Stay at Comfort Inn Sunset. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk."
Plan a 2-day trip from Delhi to Kolkata for 1 person(s) with a budget of ₹44071 starting 2025-08-13.,"Stay at Southern Plaza. Day 1: Visit Belur Math, Dakshineswar Kali Temple. Day 2: Visit Howrah Bridge, Victoria Memorial."
Plan a 3-day trip from Mumbai to Chennai for 1 person(s) with a budget of ₹43921 starting 2025-08-14.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3:
Plan a 2-day trip from Delhi to Hyderabad for 4 person(s) with a budget of ₹17449 starting 2025-08-24.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Inorbit Mall Cyberabad. Day 2: Visit Charminar, Qutb Shahi Tombs."
Plan a 4-day trip from Jaipur to Ahmedabad for 1 person(s) with a budget of ₹14382 starting 2025-08-29.,"Stay at Tulsi Residency. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk. Day 3: Visit Science City. Day 4:"
Plan a 4-day trip from Bengaluru to Hyderabad for 1 person(s) with a budget of ₹42224 starting 2025-08-09.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Inorbit Mall Cyberabad. Day 2: Visit Charminar, Qutb Shahi Tombs. Day 3: Visit Golconda Fort, Salar Jung Museum. Day 4: Visit Ramoji Film City, Chowmahalla Palace."
Plan a 2-day trip from Lucknow to Kolkata for 3 person(s) with a budget of ₹16369 starting 2025-08-12.,"Stay at Banayan Appartment ,Russell Street. Day 1: Visit Dakshineswar Kali Temple, Belur Math. Day 2: Visit Victoria Memorial, Indian Museum."
Plan a 3-day trip from Mumbai to Pune for 3 person(s) with a budget of ₹10442 starting 2025-08-08.,Stay at Camp Chrysalid Kambre. Day 1: Visit Shaniwar Wada. Day 2: Day 3:
